company_name,country,industry,area_score,size,year
3x5 Partners,United States,Equity investing - Developed Markets,37.1,1-9 Employees,2022
400 Communications Limited,United Kingdom,Advertising & market research,36.2,1-9 Employees,2022
Adelio Partners Limited,United Kingdom,Investment advising,35.9,1-9 Employees,2022
ALBERGO ETICO THE FIRST IN ROME,Italy,Accommodation,52,1-9 Employees,2022
ARS s.r.l.,Italy,Other insurance services,36.3,1-9 Employees,2022
Artrepreneur,United States,Arts & entertainment,39.5,1-9 Employees,2022
Avenue,United States,Advertising & market research,36.2,1-9 Employees,2022
B-People Group Ltd,United Kingdom,Employment placement & HR,37.8,1-9 Employees,2022
Bequest,United Kingdom,Life insurance,36.3,1-9 Employees,2022
Beyond Green,United Kingdom,Environmental consulting,36.6,1-9 Employees,2022
Big Lemon,United Kingdom,Software publishing and SaaS platforms,36.5,1-9 Employees,2022
BL évolution,France,Environmental consulting,36.6,1-9 Employees,2022
Blockforce,Brazil,Computer programming services,36.3,1-9 Employees,2022
Builders Union,United Kingdom,Equity investing - Developed Markets,36.2,1-9 Employees,2022
Camp Presents,United States,"Film, TV & music production",48.8,1-9 Employees,2022
Capsule,United Kingdom,Other insurance services,36.5,1-9 Employees,2022
Carpe Diem Education,United States,Other education,35.5,1-9 Employees,2022
Cedita,United Kingdom,Software publishing and SaaS platforms,39.4,1-9 Employees,2022
Clean Yield Asset Management,United States,Investment advising,37.2,1-9 Employees,2022
CoLab Cooperative,United States,"Other professional, scientific & tech",39.8,1-9 Employees,2022
Colorado Impact Fund,United States,Equity investing - Developed Markets,38.9,1-9 Employees,2022
Connected Asset Management,United Kingdom,Equity investing - Developed Markets,36,1-9 Employees,2022
CONQUERYOURDAY SAS,France,Other human health,38,1-9 Employees,2022
Cornerstone Financial Planning,United States,Investment advising,36.6,1-9 Employees,2022
CrushON,France,Web portals,40.3,1-9 Employees,2022
D3 Digital Limited,New Zealand,Advertising & market research,36.3,1-9 Employees,2022
Dojo4,United States,"Other professional, scientific & tech",48.2,1-9 Employees,2022
Ekodev,France,Membership organizations,35.8,1-9 Employees,2022
EMA Architecture LLC,United States,Architecture design & planning,35.7,1-9 Employees,2022
Encore Renewable Energy,United States,Other personal services,37.6,1-9 Employees,2022
EnGen,United States,"Other professional, scientific & tech",35.7,1-9 Employees,2022
ENGEO (Australia) Pty Ltd,Australia,Engineering,41.3,1-9 Employees,2022
Eurekon B.V.,Netherlands The,Management  consultant - for-profits,37.7,1-9 Employees,2022
Fifty Eight,United Kingdom,"Other professional, scientific & tech",41.1,1-9 Employees,2022
Fingerlakes Wealth Management,United States,Investment advising,36.3,1-9 Employees,2022
Flow,United States,Social networks & info sharing,45.8,1-9 Employees,2022
Frank,United States,Software publishing and SaaS platforms,38.9,1-9 Employees,2022
Fusion Associates,United Kingdom,Other personal services,39.2,1-9 Employees,2022
FUTUREPROOF TECH LTD,United Kingdom,Software publishing and SaaS platforms,36.5,1-9 Employees,2022
Griswold and Griswold Insurance Agency,United States,Other insurance services,41.6,1-9 Employees,2022
Happy Cities Studio Inc.,Canada,"Other professional, scientific & tech",37.3,1-9 Employees,2022
"Haven Ventures, Inc.",United States,Real estate development,45.4,1-9 Employees,2022
Hello World,United States,Computer programming services,37.9,1-9 Employees,2022
Hypenotic,Canada,Management  consultant - for-profits,35.5,1-9 Employees,2022
impact wealth,Canada,Other financial services,39.3,1-9 Employees,2022
Inardua Consulting Limited,United Kingdom,Other info service activities,36.5,1-9 Employees,2022
Kolibri,Argentina,Environmental consulting,36.7,1-9 Employees,2022
LIFT Economy,United States,Management  consultant - for-profits,46.2,1-9 Employees,2022
Link2Feed Inc,Canada,Software publishing and SaaS platforms,37.3,1-9 Employees,2022
Liquuid Home Ownership,Canada,Other credit - Developed Markets,37.6,1-9 Employees,2022
Lonsdale Solutions,Australia,Management  consultant - for-profits,38.3,1-9 Employees,2022
Mallowfields,United States,Computer programming services,44.7,1-9 Employees,2022
Manoverboard Inc.,Canada,Other info service activities,36.1,1-9 Employees,2022
Mesh Energy Ltd,United Kingdom,Engineering,35.5,1-9 Employees,2022
"Mightybytes, Inc.",United States,Web portals,35.6,1-9 Employees,2022
MySezame,France,"Other professional, scientific & tech",35.7,1-9 Employees,2022
Neo,United Kingdom,Advertising & market research,37.1,1-9 Employees,2022
Northern Private Capital,Canada,Equity investing - Developed Markets,38.7,1-9 Employees,2022
Núcleo Ambiental S.A.S.,Colombia,Environmental consulting,37.3,1-9 Employees,2022
